identifier,process,crossSection=-1,BR=1,execute=True,dataset,prefix,pattern,splitLevel,::variables,::pyFragments,comment
WZTo3LNu,WZ,5.213,,,/WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,dbs,,4,GENXSEC=5.213;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2017,RecoProbabilities.py,


# qq->WW,,,,,,,,,,,
WWTo2L2Nu,WW,11.09,,,/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,dbs,,1,GENXSEC=11.09;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2017,RecoProbabilities.py,
# WWJJToLNuLNu_QCD,WW,2.163,,,/WWJJToLNuLNu_QCD_noTop_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,dbs,,1,GENXSEC=2.163;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2017,RecoProbabilities.py,


###,Reducible backgrounds,,,,,,,,,,background samples for Z+X studies
DYJetsToLL_M50,Z,6225.4,,,/DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,dbs,,4,GENXSEC=6025.2;GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,
DYJetsToLL_M50_part1, Z, 3122.96 , , , NONE, dbs, ,4 , GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017, RecoProbabilities.py,
DYJetsToLL_M50_part2, Z, 3102.44 , , , NONE, dbs, ,4 , GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017, RecoProbabilities.py,
# DYJetsToLL_M50_LO,Z,6225.4,,,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,dbs,,4,GENXSEC=5765.4;GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,# this does not work because the weight indices are different. It would have to be implemented in LHEHandler.cc to pick up theLO (not NLO) PDF weights. If you need this sample ask Heshy.
# DYJetsToLL_M50_LO_ext1,Z,6225.4,,,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9_ext1-v1/MINIAODSIM,dbs,,4,GENXSEC=5765.4;GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,# this does not work because the weight indices are different. It would have to be implemented in LHEHandler.cc to pick up theLO (not NLO) PDF weights. If you need this sample ask Heshy.

WJetsToLNu,Wjets,67350.0,,,/WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,dbs,,4,GENXSEC=67350.0;GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,# Generated with 0 1 2 jets @NLO

singleT,t,3.549,,,/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,dbs,,4,GENXSEC=3.549;GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,
tW,tX,-1,,,/ST_tW_Dilept_5f_DR_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,dbs,,4,GENXSEC=-1;GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,
TTTo2L2Nu,tt,87.3,,,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,dbs,,4,GENXSEC=91.7701;GENBR=1;PROCESS_CR=True;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,


###,Rare backgrounds,,,,,,,,,,rare backgrounds targeting ttH categories
TTZZ,ttX,0.001572,,,/TTZZ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,dbs,,4,GENXSEC=1.256;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2017,RecoProbabilities.py,
TTWW,ttX,0.007883,,,/TTWW_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,dbs,,4,GENXSEC=1.256;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2017,RecoProbabilities.py,
TTZToLLNuNu_M10,ttX,0.25271,,,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,dbs,,4,GENXSEC=0.25271;GENBR=1;ADDZTREE=True;LEPTON_SETUP=2017,RecoProbabilities.py,
